,Year,total Foreign  Exchange Earning  from tourism (Rs. in millions),as % of total  Value of  Merchandise  Exports,as % of total  Value of Exports  of Goods & Non  Factor Services,as % of total  Foreign  Exchange  Earnings,as % of  GDP
1,2000/01,"11,717.0",16.8,11.8,5.8,2.7
2,2001/02,"8,654.3",14.9,10.6,4.8,1.9
3,2002/03,"11,747.7",23.1,15.2,6.1,2.4
4,2003/04,"18,147.4",32.9,20.3,8.2,3.4
5,2004/05,"10,464.0",17.5,12.2,4.7,1.8
6,2005/06,"9,556.0",15.5,10.9,3.6,1.5
7,2006/07,"10,125.0",16.5,10.8,3.8,1.4
8,2007/08,"18,653.0",30.1,17.9,5.6,2.3
9,2008/09,"27,960.0",40,22.8,6.5,2.8
10,2009/10,"28,139.0",44.5,24.6,6.0,2.4
11,2010/11,"24,611.0",35.8,20.2,4.9,1.8
12,2011/12,"30,703.8",37.7,20,4.5,1.8
13,2012/13,"34,210.6",39.8,18.9,4.5,2
14,2013/14,"46,374.9",45.9,20.5,4.7,2.4
15,2014/15,"53,428.8",54.4,21.6,4.9,2.5
16,2015/16,"41,765.4",55.8,19.6,3.7,1.9
17,2016/17,"58,526.9",71.3,24.3,4.5,2.3
18,2017/18,"67,094.6",71.9,24.8,9.9,2.2
19,2018/19,"75,808.6",,,11.2,
20,2019/20*,"42,736.9",,,6.3,
