,Fiscal Year,Total earning(Nrs),AverageExchangeRate,DollarEarning,%changeinUS
2,2057/58 (2000/01),"11,717.0",,158.7,
3,2058/59 (2001/02),"8,654.3",-,109.7,-30.9
4,2059/60 (2002/03),"11,747.7",-,151.0,37.6
5,2060/61 (2003/04),"18,147.4",-,245.9,62.9
6,2061/62 (2004/05),"10,464.0",71.76,145.2,-41.0
7,2062/63 (2005/06),"9,556.0",72.03,132.1,-9.0
8,2063/64 (2006/07),"10,125.0",70.19,143.6,8.7
9,2064/65 (2007/08),"18,653.0",64.72,286.9,99.7
10,2065/66 (2008/09),"27,960.0",76.58,363.7,26.8
11,2066/67 (2009/10),"28,139.0",74.24,377.5,3.8
12,2067/68 (2010/11),"24,611.0",72.07,340.4,-9.8
13,2068/69 (2011/12),"30,703.8",81.02,379.0,11.3
14,2069/70 (2012/13),"34,210.6",87.96,388.9,2.6
15,2070/71 (2013/14),"46,374.9",98.21,472.2,21.4
16,2071/72 (2014/15),"53,428.8",99.49,544.1,15.2
17,2072/73 (2015/16),"41,765.4",106.35,392.7,-27.8
18,2073/74 (2016/17),"58,526.9",106.21,551.0,40.3
19,2074/75 (2017/18),"67,094.6",104.37,642.9,16.7
20,2075/76 (2018/19),75808.56,,670.6,4.3
21,2076/77 (2019/20)*,42736.91,,375.7,
