,Year,StarHotel(Hotel),StarHotel(Bed),TouristStandardHotel(Hotel),TouristStandardHotel(Bed),Total(Hotel),Total(Bed)
2,2061,110,10715,886,28392,996,39107
3,2062,110,10715,896,28669,1006,39384
4,2063,105,9763,502,14497,607,24260
5,2064,105,9763,512,14897,617,24660
6,2065,96,9320,573,16743,669,26063
7,2066,97,9369,647,19124,744,28493
8,2067,103,9125,686,20517,789,29342
9,2068,106,9323,721,21457,827,30780
10,2069,107,9371,746,22286,853,31657
11,2070,117,9506,909,25017,1026,34523
12,2071,118,9554,957,26625,1075,36179
13,2072,116,9710,957,27240,1073,36950
14,2073,120,10071,985,28171,1062,38242
15,2074,125,10697,977,29136,1101,39833
16,2075,129,11146,1125,29710,1254,40856
17,2076,138,13200,1151,30799,1289,43999
