,Nationality,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2,Australia,2017,2735,2386,3141,3707,1692,1532,814,"1,007","4,141","4,297","4,582","3,337","33,371"
3,,2018,2689,2537,3605,3805,1903,1619,1718,1406,3746,5826,5140,4435,38429
4,,2019,"3,251","2,753","3,275","4,521","2,048","1,731","1,442","1,407","4,454","5,671","4,970","3,449","38,972"
5,Bangladesh,2017,2028,2124,2901,2758,2349,3,1549,"2,251","3,683","2,418","2,784","4,212","29,060"
6,,2018,2743,3236,2946,2028,1191,1850,1407,2311,1854,1843,2125,2821,26355
7,,2019,1284,1641,"2,072","1,840",1037,2270,1588,2565,"1,979","2,786","2,963",3824,"25,849"
8,Canada,2017,911,1305,1784,1693,1117,667,531,670,"1,245","2,333","1,714","1,135","15,105"
9,,2018,955,1511,2086,1827,1174,805,921,775,1222,2700,2134,1207,17317
10,,2019,1134,1426,2196,1928,1265,729,853,693,1370,2643,1909,956,17102
11,China,2017,9727,9499,10458,8601,7309,6490,5823,"7,349","8,351","9,735","10,312","11,010","104,664"
12,,2018,12027,15394,13558,12554,9148,8696,13122,12048,12934,13538,14862,15752,153633
13,,2019,12916,"15,345","17,398","13,778",12359,10215,"12,450","12,817","13,195","14,896","17,499","16,675","169,543"
14,France,2017,942,1566,2697,3451,1203,852,1025,"1,073","1,991","6,332","3,695","1,313","26,140"
15,,2018,1160,1863,3260,4453,1525,736,1620,1349,2362,7552,4340,1590,31810
16,,2019,1225,"1,814","3,534","4,343","1,601",784,1300,"1,420","2,191","6,826","4,508","1,100","30,646"
2,Germany,2017,1014,2243,4192,3891,1380,779,711,"1,192","2,883","6,548","3,869","1,216","29,918"
3,,2018,1301,2617,6122,3428,2055,993,1094,1572,3775,7523,4613,1786,36879
4,,2019,"1,480","3,113","5,589","4,927","1,808",835,988,"1,361","3,456","7,494","4,208","1,382","36,641"
5,India,2017,10547,11196,12729,14595,20011,20118,10193,"14,057","8,915","10,668","11,914","15,889","160,832"
6,,2018,12152,7570,14411,16612,21385,21623,16888,18327,15396,11566,16167,22226,194323
7,,2019,17690,17659,18256,17128,26021,30513,22117,27555,18497,15612,19679,23423,"254,150"
8,Italy,2017,511,694,821,1308,682,431,509,"1,634",824,"2,012","1,389","1,025","11,840"
9,,2018,707,912,1237,1333,683,447,967,2193,1116,2376,1787,1584,15342
10,,2019,660,931,1483,2050,784,504,569,2123,903,2375,1868,1426,17695
11,Japan,2017,2027,2935,3586,2252,1329,955,944,"1,857","1,992","2,969","3,719","2,761","27,326"
12,,2018,2135,2761,4281,2393,1312,973,1284,1925,2170,2895,4182,3506,29817
13,,2019,2728,2871,"3,692",2960,1690,1111,1297,"2,254","2,351","2,599","3,701","3,280",30534
14,Malaysia,2017,1121,1333,1858,1833,1169,988,820,"1,069","1,125","1,918","2,595","2,455","18,284"
15,,2018,981,1487,2213,2154,1166,1234,1138,1380,1967,2483,3394,3236,22833
16,,2019,990,"1,630","2,160","2,068",1468,1232,835,1458,1823,"2,144","2,868","2,653",21329
2,Myanmar,2017,2748,5285,0,2483,122,51,63,"9,674",167,"2,457","3,856","3,946","30,852"
3,,2018,3703,5353,6251,2783,106,84,107,138,109,2523,10246,9999,41402
4,,2019,3827,5676,7290,"2,776",132,95,97,74,188,"3,859","6,530",5730,36274
5,Netherlands,2017,577,1100,1498,1732,655,388,866,826,"1,025","2,411","1,504",811,"13,393"
6,,2018,589,1188,1650,1792,801,447,961,778,1184,2793,1929,1240,15352
7,,2019,603,1252,1844,1813,796,375,1028,812,1304,2756,1604,847,15034
8,South Korea,2017,4579,3585,2810,2436,1746,1867,1981,"2,321","2,195","3,348","3,556","3,877","34,301"
9,,2018,6075,2607,4021,2597,1554,1279,2415,1874,2397,3850,4532,4017,37218
10,,2019,5089,2723,3297,2279,1514,1210,"2,067","1,914","2,013","3,035","2,929",3038,31108
11,Spain,2017,478,748,913,1397,706,607,1590,"2,938","1,730","2,397","1,578",871,"15,953"
12,,2018,555,728,1625,1109,964,745,2245,3505,2296,3313,2080,1049,20214
13,,2019,679,669,"1,135",2311,1119,823,"1,482","3,331","1,945","2,972","2,091",826,19383
14,Sri Lanka,2017,329,7069,10434,1070,404,301,949,"9,674","5,605","5,291","3,475",760,"45,361"
15,,2018,341,5841,10630,379,359,365,1457,16876,8815,6563,16562,1452,69640
16,,2019,655,"7,835","10,835","1,531",253,355,1079,14486,6962,"5,851",5539,935,"56,316"
