,Conservation  Area,2071/72,2072/73,2073/74,2075/76,2075/76
1,Chitwan National Park,178257,87391,139125,118621,142486
2,Bardiya National Park,13548,10638,17959,6773,8260
3,Langtang National Park,12265,5016,8254,10619,12132
4,Sagarmatha National Park,34412,27794,45112,56303,57289
5,Rara National Park,143,132,201,317,421
6,Shey Phoksundo National Park,383,431,535,469,578
7,Khaptad National Park,2,21,26,21,67
8,Makalu Barun National Park,1270,828,1537,1252,2057
9,Shivapuri Nagarjun National Park,NA,NA,NA,16813,12496
10,Banke National Park,0,0,4,1,12
11,Shukla Phata Wildlife Reserve,NA,NA,NA,464,329
12,Koshi Tappu Wildlife Reserve,NA,NA,NA,436,388
13,Parsa Wildlife Reserve,263,235,417,95,15
14,Dhorpatan Hunting Reserve,0,91,163,119,424
15,Krishnasar Conservation ARea,NA,NA,NA,43,37
16,Apinappa Consersation Area,3,29,19,36,38
17,Kanchanjunga Conservation Area,0,502,479,821,806
18,Annapurna Conservation Area,114418,83419,144409,172720,181746
19,Manaslu Conservation Area,5658,2287,5745,7200,7655
20,Gaurishanker Conservation Area,2818,1840,2770,2668,2528
21,total,,,,395791,429764
