,Year,Mustang,Lower Dolpa,Upper Dolpa,Humla,Manaslu,Kanchanjunga,T.Valley,Narphu,Others,Total
1,2001,922,488,119,337,798,690,,,,"3,354"
2,2002,536,0,119,339,428,478,,,79,"1,979"
3,2003,572,0,369,223,645,402,,,154,"2,365"
4,2004,825,329,77,577,682,458,,,275,"3,223"
5,2005,661,200,81,782,544,167,,,279,"2,714"
6,2006,248,225,92,"1,256",561,335,,,395,"3,112"
7,2007,"1,282",419,198,"1,542",895,404,,,587,"5,327"
8,2008,838,709,383,"1,065","1,443","1,490",,,520,"6,448"
9,2009,"1,659",739,313,"1,177","1,635",508,,,948,"6,979"
10,2010,"2,162",785,358,"1,633","2,162",488,,,"1,427","9,015"
11,2011,"2,950",808,397,"1,758","2,813",591,,,"1,398","10,715"
12,2012,"2,965",982,536,"1,508","3,319",635,780,515,392,"11,632"
13,2013,"2,862",585,338,"1,603","4,439",837,"1,179",862,232,"12,937"
14,2014,3883,1117,469,492,3764,777,1454,776,2333,15065
15,2015,2673,788,328,1346,2134,731,636,770,273,9679
16,2016,3984,1023,531,10105,4650,502,1219,903,356,23569
17,2017,4240,924,425,13398,6632,479,1681,1115,1099,29993
18,2018,4116,1222,525,10814,7371,970,2030,1291,537,28876
19,2019,3739,1263,530,8670,6070,911,1393,1066,437,24079
