,Mountains,Andorra,Argentina,Australia,Austria,Azerbaijan,Bangladesh,Belgium,Brazil,Bulgaria,Canada,Chile,China,Czech Republic,Denmark,Ecuador,Egypt,Estonia,Finland,France,Georgia,Germany,Greece,Hong Kong,Iran,Iceland,India,Ireland,Israel,Italy,Japan,Kazakhstan,South Korea,North Korea,Kuwait,Kyrgyz Republic,Lebanon,Lithuania,Malaysia,Mexico,Moldova,Nepal,Netherlands,Netherlands,New Zealand,Norway,Oman,Pakistan,Peru,Poland,Portugal,Qatar,Republic of Kosovo,Romania,Russian Federation,Saudi Arabia,Singapore,Slovakia,Slovenia,South Africa,Spain,Swaziland,Sweden,Switzerland,Syrian Arab Republic,"Taiwan, Province of China",Thailand,Turkey,U.S.of America,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Grand Total
1,"Mt. Himlung Himal 
(7126m.)",,,2,1,,1,,,,1,,2,,,,,,,10,,6,,,,,,,,,5,,,,,,,,,,,1,3,,,2,,,,1,,,,,,,,,,,3,1,,1,,,,,3,,,1,,44
2,Mt. Hongde (6556m.),,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,6
3,"Mt. Kanchanjunga  
(8586m.)",,1,,,,,,,2,,2,,1,,,,,,,,1,,,,,14,,,,1,,,,,,,,,1,,2,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,28
4,"Mt. Khangtega 
(6783m.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5,Mt. Lhotse (8516m.),,,,,1,,,,1,3,1,3,,,1,,,,2,,,2,3,,,3,1,,,2,,,,,,,,,,,,,,,,,2,,1,,1,,1,4,,,,,,3,,,1,,,,,4,,,,,40
6,"Mt. Linku Chuli 
2(6659m.)",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4
7,Mt. Lubula (6899m.),,,,,,,,,,,,,,,,,,,5,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
8,Mt. Makalu (8463m.),,,2,,,,1,,,,,3,,,,,,,,,,,,,,18,,,,,,,1,,,,,,1,,,,,,1,,1,,1,,,,,,,,,,,,,,1,,1,,,5,,,1,,37
9,Mt. Manaslu (8163m.),3,,4,5,1,,2,4,2,6,2,51,1,,,,2,1,7,,12,1,,2,1,2,3,1,8,10,,1,,,,2,4,,,1,4,,,,2,,2,,10,,,,1,7,,,,,,3,,1,3,,,1,,9,3,,3,,188
10,Mt. Nemjung (7139m.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
11,"Mt. Norbu Kang 
(6005m.)",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12,"Mt. Panpoche 1 ( 
6620m. )",,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
13,"Mt. Panpoche II 
(6504m. )",,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
14,Mt. Pumori (7161m.),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4
15,"Mt. Putha Hiunchuli 
(7246m.)",,2,1,,,,,,,1,,,,,,,,,2,,7,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,23
16,Mt. Sarbung (6346m.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
17,Mt. Saribung (6346m.),,,,,,,,,,,,1,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,10
18,"Mt. Tengi Ragi Tau 
(6938m.)",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,2,,,,,7
19,"Mt. Tengkoma 
(6215m.)",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
20,"Mt. Thapa Peak  
6012m.)",,,,,,,1,,,,,,,,,,,,12,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,,,1,,,,,1,,,8,,33
21,"Mt. Thorang Peak 
(6144m.)",,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,5
22,Grand Total,3,6,17,16,3,1,6,8,7,25,7,##,5,1,3,1,2,2,61,9,42,6,8,8,7,##,10,1,24,36,1,1,4,1,1,7,5,1,5,1,##,##,2,7,##,1,6,1,24,1,2,2,8,##,2,5,1,1,1,##,3,5,##,1,3,2,1,##,7,3,##,1,984
