,Year,Number,Average_length_of_stay
1,1975,"92,440",13.05
2,1976,"105,108",12.41
3,1977,"129,329",11.60
4,1978,"156,123",11.84
5,1979,"162,276",12.02
6,1980,"162,897",11.18
7,1981,"161,669",10.49
8,1982,"175,448",13.33
9,1983,"179,405",11.53
10,1984,"176,634",11.55
11,1985,"180,989",11.30
12,1986,"223,331",11.16
13,1987,"248,080",11.98
14,1988,"265,943",12.00
15,1989,"239,945",12.00
16,1990,"254,885",12.00
17,1991,"292,995",9.25
18,1992,"334,353",10.14
19,1993,"293,567",11.94
20,1994,"326,531",10.00
21,1995,"363,395",11.27
22,1996,"393,613",13.50
23,,,
1,1997,"421,857",10.49
2,1998,"463,684",10.76
3,1999,"491,504",12.28
4,2000,"463,646",11.88
5,2001,"361,237",11.93
6,2002,"275,468",7.92
7,2003,"338,132",9.60
8,2004,"385,297",13.51
9,2005,"375,398",9.09
10,2006,"383,926",10.20
11,2007,"526,705",11.96
12,2008,"500,277",11.78
13,2009,"509,956",11.32
14,2010,"602,867",12.67
15,2011,"736,215",13.12
16,2012,"803,092",12.16
17,2013,"797,616",12.60
18,2014,790118,12.44
19,2015,538970,13.16
20,2016,753002,13.4
21,2017,940218,12.6
22,2018,1173072,12.4
23,2019,1197191,12.7
