,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
1,1992,"17,451","27,489","31,505","30,682","29,089","22,469","20,942","27,338","24,839","42,647","32,341","27,561","334,353"
2,1993,"19,238","23,931","30,818","20,121","20,585","19,602","13,588","21,583","23,939","42,242","30,378","27,542","293,567"
3,1994,"21,735","24,872","31,586","27,292","26,232","22,907","19,739","27,610","27,959","39,393","28,008","29,198","326,531"
4,1995,"22,207","28,240","34,219","33,994","27,843","25,650","23,980","27,686","30,569","46,845","35,782","26,380","363,395"
5,1996,"27,886","29,676","39,336","36,331","29,728","26,749","22,684","29,080","32,181","47,314","37,650","34,998","393,613"
6,1997,"25,585","32,861","43,177","35,229","33,456","26,367","26,091","35,549","31,981","56,272","40,173","35,116","421,857"
7,1998,"28,822","37,956","41,338","41,087","35,814","29,181","27,895","36,174","39,664","62,487","47,403","35,863","463,684"
8,1999,"29,752","38,134","46,218","40,774","42,712","31,049","27,193","38,449","44,117","66,543","48,865","37,698","491,504"
9,2000,"25,307","38,959","44,944","43,635","28,363","26,933","24,480","34,670","43,523","59,195","52,993","40,644","463,646"
10,2001,"30,454","38,680","46,709","39,083","28,345","13,030","18,329","25,322","31,170","41,245","30,282","18,588","361,237"
11,2002,"17,176","20,668","28,815","21,253","19,887","17,218","16,621","21,093","23,752","35,272","28,723","24,990","275,468"
12,2003,"21,215","24,349","27,737","25,851","22,704","20,351","22,661","27,568","28,724","45,459","38,398","33,115","338,132"
13,2004,"30,988","35,631","44,290","33,514","26,802","19,793","24,860","33,162","25,496","43,373","36,381","31,007","385,297"
14,2005,"25,477","20,338","29,875","23,414","25,541","22,608","23,996","36,910","36,066","51,498","41,505","38,170","375,398"
1,2006,"28,769","25,728","36,873","21,983","22,870","26,210","25,183","33,150","33,362","49,670","44,119","36,009","383,926"
2,2007,"33,192","39,934","54,722","40,942","35,854","31,316","35,437","44,683","45,552","70,644","52,273","42,156","526,705"
3,2008,"36,913","46,675","58,735","38,475","30,410","24,349","25,427","40,011","41,622","66,421","52,399","38,840","500,277"
4,2009,"29,278","40,617","49,567","43,337","30,037","31,749","30,432","44,174","42,771","72,522","54,423","41,049","509,956"
5,2010,"33,645","49,264","63,058","45,509","32,542","33,263","38,991","54,672","54,848","79,130","67,537","50,408","602,867"
6,2011,"42,622","56,339","67,565","59,751","46,202","46,115","42,661","71,398","63,033","96,996","83,460","60,073","736,215"
7,2012,"52,501","66,459","89,151","69,796","50,317","53,630","49,995","71,964","66,383","86,379","83,173","63,344","803,092"
8,2013,"47,846","67,264","88,697","65,152","52,834","54,599","54,011","68,478","66,755","99,426","75,485","57,069","797,616"
9,2014,70196,69009,79914,80053,62558,50731,46546,59761,52894,80993,76305,61158,"790,118"
10,2015,"38,616","58,523","79,187","65,729","17,569","18,368","22,967","38,606","39,050","56,584","58,304","45,467","538,970"
11,2016,"42,235","60,821","76,444","60,214","46,683","38,852","48,115","66,341","74,670","89,281","72,990","76,356",753002
12,2017,"62,632","84,061","106,291","88,591","62,773","55,956","42,240","73,778","68,634","112,492","99,804","82,966",940218
13,2018,"73,187","89,507","124,686","98,650","68,825","65,159","73,281","87,679","91,874","130,745","147,859","121,620","1,173,072"
14,2019,"81,273","102,423","127,351","109,399","78,329","74,883","70,916","94,749","92,604","134,096","130,302","100,866","1,197,191"
15,Changes*,11,14,2,11,14,15,-3,8,1,3,-12,-17,2
