,SN,Incident,Shrawan,Bhadra,Ashoj,Kartik,Mangsir,Paush,Magh,Falgun,Chaitra,Baisakh,Jestha,ashad,Total
1,1,Lost/Missing,38,25,49,57,38,39,31,27,43,66,41,27,481
2,2,Stolen/theft,7,9,12,17,12,11,5,3,6,11,6,3,102
3,3,"Fraud/Cheat-
ing",4,0,2,3,2,3,0,0,3,2,5,0,24
4,4,Robbery,0,0,0,0,0,0,0,0,1,1,0,0,2
5,5,Pickpockt,0,0,1,1,0,0,0,0,2,1,1,0,6
6,6,"Harrastment/
dispute",0,0,1,1,0,0,0,1,0,0,1,0,4
7,7,Accident,0,0,0,0,0,0,0,0,0,1,0,0,1
8,8,Damage,0,0,0,1,0,0,0,1,1,0,1,0,4
9,9,Attack/ Assault,0,0,0,0,0,0,0,0,0,0,0,1,1
10,10,Snatched,0,0,0,0,0,0,0,0,1,0,0,0,1
11,11,Threaten,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,"MISBEHAV-
IOUR",0,0,0,0,1,0,1,0,0,0,0,0,2
14,14,kidnap,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,Other,1,1,0,0,1,0,0,0,1,0,0,1,5
16,total,,50,35,65,80,54,53,37,32,58,82,55,32,633
